"esc_type","child_type","freq_out","freq_inb"
"Ride Share","Driv Student",4119.8526,1270.3409
"Pure Escort","Driv Student",6453.2526,6605.191
"No Escort","Driv Student",21303.4606,24720.17
"Ride Share","Non-DrivStudent",9933.6785,7297.1869
"Pure Escort","Non-DrivStudent",29221.7934,31716.9417
"No Escort","Non-DrivStudent",77712.2253,77918.6254
"Ride Share","Pre-Schooler",5418.1902,3974.9807
"Pure Escort","Pre-Schooler",1276.4904,1406.6183
"No Escort","Pre-Schooler",7983.6067,9296.6883
"Ride Share","Total",19471.7213,12542.5085
"Pure Escort","Total",36951.5364,39728.751
"No Escort","Total",106999.2926,111935.4837
