"","PERTYPE","nmtours","freq"
"1","1","0",385226
"2","2","0",68589
"3","3","0",59429
"4","4","0",61141
"5","5","0",47877
"6","6","0",35982
"7","7","0",174617
"8","8","0",64559
"9","Total","0",897420
"10","1","1",95305
"11","2","1",39453
"12","3","1",29179
"13","4","1",128014
"14","5","1",87458
"15","6","1",4224
"16","7","1",13055
"17","8","1",28197
"18","Total","1",424885
"19","1","2",19959
"20","2","2",12956
"21","3","2",4020
"22","4","2",32256
"23","5","2",11438
"24","6","2",1307
"25","7","2",364
"26","8","2",3848
"27","Total","2",86148
"28","1","3pl",6937
"29","2","3pl",3741
"30","3","3pl",715
"31","4","3pl",5608
"32","5","3pl",2505
"33","6","3pl",122
"34","7","3pl",20
"35","8","3pl",297
"36","Total","3pl",19945
