"","Work_Jackson","University_Jackson","School_Jackson","Work_Josephine","University_Josephine","School_Josephine","Work_Total","University_Total","School_Total"
"1",1337.1254,0,2562.6755,41970.3432,10387.5296,118181.2838,43307.4686,10387.5296,120743.9593
"2",0,0,1561.3638,60514.451,18619.7096,90157.2615,60514.451,18619.7096,91718.6253
"3",1383.8893,0,1561.3638,54899.7321,20213.0049,76358.0946,56283.6214,20213.0049,77919.4584
"4",65.0861,946.365,946.365,67558.0815,18119.6188,56340.2509,67623.1676,19065.9838,57286.6159
"5",0,0,0,50707.6172,12021.604,34844.5005,50707.6172,12021.604,34844.5005
"6",777.7141,0,130.177,56857.0229,12932.1041,25162.1443,57634.737,12932.1041,25292.3213
"7",0,0,0,53329.0187,13407.6669,14906.4425,53329.0187,13407.6669,14906.4425
"8",1290.639,0,0,59995.823,10184.688,13010.3626,61286.462,10184.688,13010.3626
"9",0,0,0,66887.0499,6960.7503,9129.41,66887.0499,6960.7503,9129.41
"10",0,0,0,56714.1093,8697.0638,14309.8607,56714.1093,8697.0638,14309.8607
"11",0,0,1396.4509,38220.6924,7954.091,9788.6725,38220.6924,7954.091,11185.1234
"12",0,0,65.0889,38342.2731,7754.0732,5434.0987,38342.2731,7754.0732,5499.1876
"13",65.0861,0,0,51165.4047,4468.3857,3143.1695,51230.4908,4468.3857,3143.1695
"14",389.2952,0,0,34294.6162,6249.7116,6594.16,34683.9114,6249.7116,6594.16
"15",1409.5259,0,0,43625.8802,9801.2803,4766.8121,45035.4061,9801.2803,4766.8121
"16",0,0,0,41633.9944,7137.1328,2863.5846,41633.9944,7137.1328,2863.5846
"17",65.0862,0,0,44210.0006,3828.6133,5203.9585,44275.0868,3828.6133,5203.9585
"18",0,0,0,30073.6038,5078.8067,3783.9357,30073.6038,5078.8067,3783.9357
"19",0,65.0889,443.1287,38518.1916,581.5042,2675.1353,38518.1916,646.5931,3118.264
"20",65.0889,0,0,21765.2566,2223.4406,4567.4191,21830.3455,2223.4406,4567.4191
"21",1290.639,0,0,24252.291,65.0568,1709.8446,25542.93,65.0568,1709.8446
"22",0,0,0,13971.1176,130.1136,798.6331,13971.1176,130.1136,798.6331
"23",0,0,51.2579,14519.5628,2166.0326,683.7471,14519.5628,2166.0326,735.005
"24",19.7061,0,39.4122,10928.8165,149.7626,132.278,10948.5226,149.7626,171.6902
"25",130.1732,0,1396.4509,10659.9824,134.1893,134.4424,10790.1556,134.1893,1530.8933
"26",65.0861,1561.3638,0,12494.1207,0,0,12559.2068,1561.3638,0
"27",1396.4509,0,0,11554.5177,1358.9311,1747.8457,12950.9686,1358.9311,1747.8457
"28",0,0,0,6040.4035,0,425.655,6040.4035,0,425.655
"29",0,0,0,1642.6768,0,293.1357,1642.6768,0,293.1357
"30",0,0,0,7482.0879,0,0,7482.0879,0,0
"31",385.8433,0,0,1054.4764,0,0,1440.3197,0,0
"32",0,0,0,4108.7345,1277.3032,353.3579,4108.7345,1277.3032,353.3579
"33",0,0,0,4731.1804,1258.7349,0,4731.1804,1258.7349,0
"34",53.8009,0,0,937.5471,0,0,991.348,0,0
"35",0,0,0,729.5674,1292.3212,0,729.5674,1292.3212,0
"36",0,65.087,0,1431.9599,702.3128,0,1431.9599,767.3998,0
"37",0,0,0,3593.5631,0,0,3593.5631,0,0
"38",0,0,0,2169.6628,1389.1892,0,2169.6628,1389.1892,0
"39",0,0,0,3346.2877,130.1429,0,3346.2877,130.1429,0
"40",65.0885,0,0,3972.9334,115.9818,0,4038.0219,115.9818,0
"41",1600.1325,0,0,12944.9901,87.0791,0,14545.1226,87.0791,0
