"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",0,77593,246001,323594
"2","work",34,31434,46423,77891
"3","work",9,14877,23379,38265
"4","work",120,8895,5743,14758
"5","work",94,10014,8221,18329
"6","work",22286,17617,14824,54727
"7","work",0,4668,10002,14670
"8","work",171,1932,3819,5922
"9","work",0,0,0,0
"1","univ",0,7898,10857,18755
"2","univ",156,6567,5282,12005
"3","univ",62,1346,1033,2441
"4","univ",332,484,456,1272
"5","univ",0,2715,478,3193
"6","univ",4901,4402,1655,10958
"7","univ",0,942,772,1714
"8","univ",18,396,315,729
"9","univ",0,0,0,0
"1","sch",0,1153,3989,5142
"2","sch",496,9912,37828,48236
"3","sch",1754,43994,85796,131544
"4","sch",5972,9965,22366,38303
"5","sch",799,2755,6203,9757
"6","sch",2060,1942,1764,5766
"7","sch",0,188,211,399
"8","sch",13,97,143,253
"9","sch",502,5340,12212,18054
"1","imain",0,22013,60555,82568
"2","imain",2069,20337,48777,71183
"3","imain",132,18318,29082,47532
"4","imain",10220,10989,20840,42049
"5","imain",975,2034,2247,5256
"6","imain",10271,3803,3265,17339
"7","imain",0,490,732,1222
"8","imain",28,136,333,497
"9","imain",0,0,0,0
"1","idisc",0,34000,77122,111122
"2","idisc",3198,16585,32025,51808
"3","idisc",889,16336,23508,40733
"4","idisc",7222,21867,37105,66194
"5","idisc",661,6438,5660,12759
"6","idisc",9230,3979,3191,16400
"7","idisc",0,577,631,1208
"8","idisc",92,191,349,632
"9","idisc",0,0,0,0
"1","jmain",0,0,0,0
"2","jmain",2481,8696,15752,26929
"3","jmain",2737,6546,4443,13726
"4","jmain",0,0,0,0
"5","jmain",0,0,0,0
"6","jmain",0,0,0,0
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,0,0,0
"1","jdisc",0,0,0,0
"2","jdisc",2367,4980,13018,20365
"3","jdisc",1184,5189,7235,13608
"4","jdisc",0,0,0,0
"5","jdisc",0,0,0,0
"6","jdisc",0,0,0,0
"7","jdisc",0,0,0,0
"8","jdisc",0,0,0,0
"9","jdisc",0,0,0,0
"1","atwork",0,7779,36325,44104
"2","atwork",111,2553,9938,12602
"3","atwork",48,859,4525,5432
"4","atwork",2061,7536,17587,27184
"5","atwork",129,670,1051,1850
"6","atwork",882,1218,798,2898
"7","atwork",0,0,0,0
"8","atwork",0,0,0,0
"9","atwork",0,0,0,0
"1","Total",0,150436,434849,585285
"2","Total",10912,101064,209043,321019
"3","Total",6815,107465,179001,293281
"4","Total",25927,59736,104097,189760
"5","Total",2658,24626,23860,51144
"6","Total",49630,32961,25497,108088
"7","Total",0,6865,12348,19213
"8","Total",322,2752,4959,8033
"9","Total",502,5340,12212,18054
