"","PERTYPE","TOURPURP","freq"
"1",1,4,20455
"2",1,5,27556
"3",1,6,35804
"4",1,7,1116
"5",1,8,19735
"6",1,9,52745
"7",2,4,9438
"8",2,5,16610
"9",2,6,17664
"10",2,7,4176
"11",2,8,6975
"12",2,9,22847
"13",3,4,6140
"14",3,5,7510
"15",3,6,6514
"16",3,7,2766
"17",3,8,7211
"18",3,9,9422
"19",4,4,39660
"20",4,5,44583
"21",4,6,40323
"22",4,7,10864
"23",4,8,13690
"24",4,9,61530
"25",5,4,4407
"26",5,5,30948
"27",5,6,31838
"28",5,7,12645
"29",5,8,9190
"30",5,9,29147
"31",6,4,422
"32",6,5,496
"33",6,6,397
"34",6,7,89
"35",6,8,904
"36",6,9,4897
"37",7,4,604
"38",7,5,571
"39",7,6,1060
"40",7,8,4515
"41",7,9,7093
"42",8,4,11802
"43",8,6,5772
"44",8,7,1818
"45",8,8,3443
"46",8,9,14038
