"comp","partysize","freq"
"All Adult",2,42.0194138914576
"All Children",2,33.8083307234576
"Mixed",2,25.8846632515275
"Total",2,36.5748957342334
"All Adult",3,6.20719155288058
"All Children",3,13.0050109614782
"Mixed",3,16.6066725661845
"Total",3,9.73875988285948
"All Adult",4,1.23976990154612
"All Children",4,2.45850297525838
"Mixed",4,5.63462711404285
"Total",4,2.70765344455015
"All Adult",5,0.515431896075866
"All Children",5,0.712496085186345
"Mixed",5,1.82168178565007
"Total",5,0.949266243478301
