"District","Work","Univ","Schl"
"Alameda",9.89374511831016,6.32900323976837,1.0846653863407
"Contra Costa",13.4535654396653,9.95818435494373,2.24700116938157
"Marin",14.3067155792668,12.2498882291303,2.25995097406786
"Napa",13.5005503042156,7.47757528230866,2.27438627487447
"San Francisco",4.40924969848902,3.87740626715033,1.67923179323162
"San Mateo",11.5281013776051,9.33186291696501,1.84010837889849
"Santa Clara",9.51441602365278,6.68595097210482,2.3165586054424
"Solano",14.2705181879295,11.8051645338208,2.05291387790165
"Sonoma",11.4071565205684,7.80462365591398,2.06523072007384
"Total",10.3202074200307,7.16458879058545,1.91194036786387
