"","PERTYPE","MTF","freq"
"1","1","1",1769485
"2","2","1",253636
"3","3","1",32176
"4","6","1",0
"5","7","1",0
"6","8","1",0
"7","Total","1",2055297
"8","1","2",218692
"9","2","2",30522
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",249214
"15","1","3",0
"16","2","3",0
"17","3","3",142898
"18","6","3",169740
"19","7","3",899513
"20","8","3",220408
"21","Total","3",1432559
"22","1","4",0
"23","2","4",0
"24","3","4",46863
"25","6","4",6746
"26","7","4",9800
"27","8","4",0
"28","Total","4",63409
"29","1","5",0
"30","2","5",0
"31","3","5",8390
"32","6","5",3616
"33","7","5",0
"34","8","5",0
"35","Total","5",12006
