"distbin","Alameda","Contra Costa","Marin","Napa","San Francisco","San Mateo","Santa Clara","Solano","Sonoma","Total"
1,111444,34743,10505,10230,48395,30081,50491,19961,28969,344819
2,67857,40811,8165,7187,69332,27983,67163,19947,26000,334445
3,51267,31020,5776,5241,62505,23561,63637,15946,20993,279946
4,38053,24775,4811,3496,50117,18165,57159,11168,14025,221769
5,27744,20460,4070,2466,38651,14787,51667,6236,9951,176032
6,20947,16323,3006,1551,34304,12509,48268,3964,7435,148307
7,15851,14862,2681,1359,28028,10260,43895,3370,6409,126715
8,13290,12846,2137,841,15994,10470,39661,3234,5552,104025
9,13668,10996,2647,679,7776,11668,35681,3503,5794,92412
10,12871,9467,2783,838,2740,11463,32221,3218,5546,81147
11,13185,9120,2578,547,1245,10571,28882,3045,5077,74250
12,13641,9001,2906,401,1249,11419,24987,3207,4335,71146
13,13312,7941,3015,643,1546,8293,21651,2793,3665,62859
14,13497,8726,2917,663,1613,7888,17939,2654,3068,58965
15,13654,8807,2625,783,1726,7122,15612,2530,2718,55577
16,12344,8702,2526,836,1622,6192,12850,2453,2724,50249
17,12136,8613,2437,896,1411,6440,10453,2375,2938,47699
18,11100,8302,2351,845,1156,6351,8902,2320,2615,43942
19,10618,8642,2556,780,990,6425,7641,2497,2405,42554
20,9916,8332,2216,689,799,6077,6328,2150,2092,38599
21,9383,7868,2401,639,664,5751,5573,1972,1712,35963
22,8887,7644,2881,577,636,5563,5207,2003,1463,34861
23,8888,7024,2230,514,579,5270,4792,2003,1507,32807
24,8084,6726,1871,560,539,5032,4423,1944,1396,30575
25,7808,6033,1792,541,480,4671,4397,1994,1278,28994
26,7447,5717,1773,514,396,4076,3935,1963,1150,26971
27,7078,5030,1684,522,443,3925,3845,1830,940,25297
28,5955,4676,1433,483,385,3386,3604,1712,876,22510
29,5314,4101,1262,465,344,3170,3120,1757,712,20245
30,4731,3995,1243,516,380,2992,2873,1559,701,18990
31,4419,3852,1178,491,323,2723,2662,1613,687,17948
32,3727,3349,880,434,291,2187,2625,1654,654,15801
33,3423,3289,736,390,266,1832,2408,1597,567,14508
34,3100,2817,635,430,207,1575,2283,1509,526,13082
35,2700,2773,583,506,213,1507,2150,1303,491,12226
36,2355,2621,562,460,214,1260,2059,1120,452,11103
37,2215,2367,529,428,185,1098,1807,1073,501,10203
38,1970,2215,499,390,208,947,1749,956,537,9471
39,1616,1867,424,341,192,896,1648,871,711,8566
40,1237,1885,420,333,186,761,1393,745,781,7741
41,1071,1739,370,258,159,672,1323,744,769,7105
42,872,1557,303,228,166,577,1180,788,554,6225
43,790,1496,283,217,130,489,1000,622,470,5497
44,732,1297,234,209,141,436,909,496,433,4887
45,657,1153,215,245,107,390,801,479,431,4478
46,541,1107,176,231,90,270,773,471,361,4020
47,395,1033,154,227,84,237,700,511,346,3687
48,333,849,157,234,91,188,654,443,343,3292
49,303,831,133,215,75,185,699,443,303,3187
50,200,729,137,131,61,140,601,359,259,2617
51,1929,9080,2269,2524,320,1479,7524,7551,8890,41566
